ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductColor,ProductStyle,Sum of ProductCost,Sum of ProductPrice,Sum of DiscountPrice,SKU Category,Price Point,ProductDescription
214,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,Red,,,,,HL,Low,"Universal fit, well-vented, lightweight , snap-on visor."
215,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,Black,,,,,HL,Low,"Universal fit, well-vented, lightweight , snap-on visor."
218,23,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,White,U,,,,SO,Low,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
219,23,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,White,U,,,,SO,Low,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
220,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,Blue,,,,,HL,Low,"Universal fit, well-vented, lightweight , snap-on visor."
223,19,CA-1098,AWC Logo Cap,Cycling Cap,Multi,U,,,,CA,Low,Traditional style with a flip-up brim; one-size fits all.
226,21,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
229,21,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
232,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
235,21,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
238,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
241,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
247,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
253,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
262,14,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
266,14,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
268,14,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
270,14,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
272,14,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
274,14,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
276,14,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
278,14,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
279,14,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
288,12,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
292,12,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
299,12,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
300,12,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
301,12,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
